scene_id,angle,clip_cosine,dino_cosine
chestofdrawers_0004,front,0.858771,0.926174
chestofdrawers_0004,back,0.867385,0.615422
chestofdrawers_0004,left,0.953028,0.737655
chestofdrawers_0004,right,0.919658,0.594547
chestofdrawers_0004,top_front_left,0.971574,0.965587
chestofdrawers_0004,top_front_right,0.953343,0.9482
chestofdrawers_0011,front,0.983079,0.987489
chestofdrawers_0011,back,0.873806,0.870966
chestofdrawers_0011,left,0.976062,0.953183
chestofdrawers_0011,right,0.982843,0.872449
chestofdrawers_0011,top_front_left,0.944439,0.921426
chestofdrawers_0011,top_front_right,0.97596,0.929045
chestofdrawers_0023,front,0.875478,0.966107
chestofdrawers_0023,back,0.950511,0.845205
chestofdrawers_0023,left,0.962651,0.913731
chestofdrawers_0023,right,0.978791,0.85737
chestofdrawers_0023,top_front_left,0.909182,0.909917
chestofdrawers_0023,top_front_right,0.94984,0.936894
chestofdrawers_0029,front,0.807994,0.815968
chestofdrawers_0029,back,0.883367,0.773902
chestofdrawers_0029,left,0.950926,0.841017
chestofdrawers_0029,right,0.909527,0.853867
chestofdrawers_0029,top_front_left,0.854645,0.957862
chestofdrawers_0029,top_front_right,0.905894,0.943778
