path_key,transition,original_success,nomdl_success,original_finish_status,nomdl_finish_status,original_failure_reason,nomdl_failure_reason,original_SR,nomdl_SR,delta_SR,original_SPL,nomdl_SPL,delta_SPL,original_OS,nomdl_OS,delta_OS,original_NE,nomdl_NE,delta_NE,original_TL,nomdl_TL,delta_TL,original_steps,nomdl_steps,delta_steps
462_462,fail -> fail,False,False,fail,fail,not_reach_goal,not_reach_goal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.792709720794766,3.8644810355600474,0.07177131476528142,3.565892295183163,3.5672312345244865,0.001338939341323453,150,148,-2
463_463,fail -> fail,False,False,fail,fail,not_reach_goal,not_reach_goal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.9688962909818906,3.968848359221597,-4.793176029371793e-05,2.5713723349858175,2.57133828077653,-3.405420928759284e-05,298,298,0
464_464,fail -> fail,False,False,fail,fail,not_reach_goal,exceed_total_max_step,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.119648307805766,7.533529860170703,1.4138815523649368,10.566978557251812,0.07687549850523771,-10.490103058746573,207,1100,893
465_465,success -> success,True,True,success,success,success,success,1.0,1.0,0.0,0.9791644547463995,0.9790038375977282,-0.00016061714867121601,1.0,1.0,0.0,0.11109372440856005,0.023749082208156306,-0.08734464220040375,6.8189820917017405,6.820100826295362,0.00111873459362144,145,144,-1
466_466,fail -> fail,False,False,fail,fail,not_reach_goal,not_reach_goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.117353820333973,7.965985989181722,0.8486321688477494,4.315612750688413,5.066337484497396,0.7507247338089824,140,151,11
467_467,success -> success,True,True,success,success,success,success,1.0,1.0,0.0,0.7127311972857868,0.6658088558270711,-0.046922341458715766,1.0,1.0,0.0,2.465107212575755,2.9699511085874883,0.5048438960117334,7.06552800698055,7.563465387698972,0.4979373807184224,169,179,10
468_468,fail -> fail,False,False,fail,fail,not_reach_goal,not_reach_goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.869233948534674,5.300530435814907,-0.5687035127197673,8.57818979014947,8.319463950045096,-0.2587258401043737,182,178,-4
469_469,fail -> fail,False,False,fail,fail,not_reach_goal,not_reach_goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.133630470748244,8.124908380328401,-0.008722090419842843,3.8203510037823527,3.8190277097864964,-0.0013232939958562895,159,158,-1
470_470,fail -> success,False,True,fail,success,not_reach_goal,success,0.0,1.0,1.0,0.0,0.8892507080980354,0.8892507080980354,0.0,1.0,1.0,5.436579271709915,2.82058135196715,-2.615997919742765,6.569019903718165,6.087449323612939,-0.4815705801052266,171,170,-1
471_471,success -> success,True,True,success,success,success,success,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.246251162318153,2.192017767297577,-0.054233395020576225,2.3157404775546087,2.3151247378183,-0.0006157397363084627,129,129,0
472_472,fail -> success,False,True,fail,success,not_reach_goal,success,0.0,1.0,1.0,0.0,0.8471091469810776,0.8471091469810776,1.0,1.0,0.0,3.900804491360048,1.5528914052313845,-2.3479130861286635,5.828393199360465,8.152446050289932,2.3240528509294665,182,195,13
473_473,success -> success,True,True,success,success,success,success,1.0,1.0,0.0,0.8314585046652555,1.0,0.1685414953347445,1.0,1.0,0.0,1.080392535460594,2.305314408193761,1.224921872733167,7.835228132352736,3.565892294728653,-4.269335837624083,185,149,-36
474_474,success -> success,True,True,success,success,success,success,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.7616401236090913,2.4755543574041674,-0.2860857662049239,7.319182082066707,7.068101126604096,-0.2510809554626112,154,143,-11
475_475,fail -> fail,False,False,fail,fail,not_reach_goal,not_reach_goal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.060029697599111,3.8872169705233297,-0.17281272707578132,10.61242314714211,7.598002518725469,-3.014420628416641,220,193,-27
476_476,success -> success,True,True,success,success,success,success,1.0,1.0,0.0,0.8879375543732236,0.8876647665188614,-0.0002727878543622442,1.0,1.0,0.0,0.7795614188428107,0.7631817376934354,-0.01637968114937527,7.813527155254813,7.815928326719624,0.0024011714648111138,151,150,-1
477_477,success -> success,True,True,success,success,success,success,1.0,1.0,0.0,0.8864378641123838,0.8868004762969338,0.0003626121845500263,1.0,1.0,0.0,0.2700345695970212,0.30062090982502965,0.030586340228008435,6.0713530644809754,6.068870491842901,-0.0024825726380743873,166,167,1
478_478,fail -> success,False,True,fail,success,not_reach_goal,success,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.455062060394357,1.8912001705214816,-1.5638618898728753,1.0656520152657734,3.566669893856401,2.501017878590628,134,161,27
479_479,fail -> success,False,True,fail,success,not_reach_goal,success,0.0,1.0,1.0,0.0,0.6738066438568636,0.6738066438568636,0.0,1.0,1.0,6.1301030928151725,2.053533610214381,-4.076569482600791,6.086711786789373,8.564945341123966,2.478233554334593,160,180,20
480_480,fail -> fail,False,False,fail,fail,not_reach_goal,not_reach_goal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.225447236355422,3.0430758624900927,-1.1823713738653296,2.572776661645367,1.3225372481127367,-1.2502394135326305,144,136,-8
481_481,success -> success,True,True,success,success,success,success,1.0,1.0,0.0,0.985731465866415,0.5759592425650697,-0.40977222330134533,1.0,1.0,0.0,1.2143518909822952,1.3737224100883294,0.15937051910603417,5.333050476391592,9.127304981201263,3.794254504809671,138,190,52
482_482,success -> success,True,True,success,success,success,success,1.0,1.0,0.0,0.9951471878657703,0.9683800002625935,-0.026767187603176756,1.0,1.0,0.0,0.41621461401354715,0.45773817731711886,0.04152356330357171,9.067717999159461,9.318360627828358,0.2506426286688974,183,179,-4
483_483,fail -> fail,False,False,fail,fail,not_reach_goal,not_reach_goal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.506789593712397,3.430151178364498,-0.07663841534789917,5.0803013453047,4.821761683441153,-0.25853966186354693,167,165,-2
484_484,success -> success,True,True,success,success,success,success,1.0,1.0,0.0,0.9711237683245149,0.8278626679522448,-0.14326110037227002,1.0,1.0,0.0,0.04702767177557826,0.9246203260679273,0.8775926542923491,5.813324375033716,6.819316406113333,1.005992031079617,137,142,5
485_485,success -> fail,True,False,success,fail,success,not_reach_goal,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.1549454690383545,4.710440786590448,2.5554953175520936,8.320861670609515,7.816787579246751,-0.5040740913627646,171,178,7
486_486,success -> success,True,True,success,success,success,success,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.4341441487368485,2.515780847569006,0.08163669883215752,3.069596371486471,3.320739772185287,0.2511434006988158,144,148,4
487_487,success -> success,True,True,success,success,success,success,1.0,1.0,0.0,0.7878065998150366,0.9272157509870526,0.1394091511720159,1.0,1.0,0.0,0.6666285134758261,0.690497320682497,0.02386880720667095,10.087793279878342,8.571068939454316,-1.5167243404240267,192,192,0
488_488,success -> success,True,True,success,success,success,success,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.280683802587201,1.5640806589311727,-0.7166031436560283,4.321099402165248,3.57173711854495,-0.749362283620298,154,148,-6
489_489,fail -> fail,False,False,fail,fail,not_reach_goal,not_reach_goal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.417042547516267,4.202147030418579,-3.2148955170976885,8.829112160002166,2.315638754673187,-6.51347340532898,191,138,-53
490_490,success -> success,True,True,success,success,success,success,1.0,1.0,0.0,0.8264355273117915,0.8266872150213715,0.0002516877095800618,1.0,1.0,0.0,1.369451072077676,1.2648219557790055,-0.10462911629867055,6.81822163825882,6.816145807695143,-0.0020758305636769947,163,166,3
491_491,success -> fail,True,False,success,fail,success,not_reach_goal,1.0,0.0,-1.0,0.978656063577947,0.0,-0.978656063577947,1.0,0.0,-1.0,0.6666671136432454,4.015233885834643,3.348566772191398,7.57244182198489,3.5660000740189135,-4.006441747965977,180,148,-32
492_492,fail -> success,False,True,fail,success,not_reach_goal,success,0.0,1.0,1.0,0.0,0.39724574975220756,0.39724574975220756,1.0,1.0,0.0,3.187454056118969,2.066814540989694,-1.120639515129275,7.3421065219683,11.837745249308393,4.495638727340093,173,218,45
493_493,fail -> fail,False,False,fail,fail,not_reach_goal,not_reach_goal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.7714838266398676,7.092961927082823,3.321478100442955,2.3188923627222464,8.844231923278674,6.525339560556427,153,191,38
494_494,success -> fail,True,False,success,fail,success,not_reach_goal,1.0,0.0,-1.0,0.9736484018913381,0.0,-0.9736484018913381,1.0,0.0,-1.0,0.0972223079613407,5.032629412058455,4.935407104097115,5.835078108364698,4.888876484404956,-0.9462016239597419,286,620,334
